timestamps,TP9,AF7,AF8,TP10,Right AUX
1744258515.700,-96.191,-36.133,-237.793,-60.059,-183.105
1744258515.704,-11.230,-20.020,39.551,-12.207,-5.371
1744258515.708,42.969,-33.203,180.664,7.812,25.391
1744258515.712,-25.391,-48.340,-67.871,-38.086,-47.363
1744258515.716,-103.027,-46.387,-265.625,-67.871,-84.961
1744258515.720,-58.105,-31.738,-76.660,-34.180,-24.902
1744258515.723,45.898,-15.625,184.082,9.277,6.348
1744258515.727,11.230,-25.391,35.645,-3.906,-74.707
1744258515.731,-101.074,-42.969,-250.977,-52.734,0.977
1744258515.735,-74.707,-26.855,-148.438,-51.758,108.887
1744258515.739,38.574,-4.395,173.340,2.930,80.566
1744258515.743,38.574,-13.184,147.461,-5.371,23.438
1744258515.747,-64.453,-27.344,-164.062,-55.176,1.465
1744258515.751,-99.609,-31.738,-192.871,-56.152,55.176
1744258515.755,-13.672,-20.996,95.703,-9.277,-6.836
1744258515.759,35.645,-16.113,189.453,9.766,-60.059
1744258515.762,-50.781,-37.109,-108.887,-35.156,13.184
1744258515.766,-108.887,-44.434,-270.508,-66.406,-3.418
1744258515.770,-18.555,-21.484,8.789,-32.227,-68.848
1744258515.774,53.223,-9.277,211.426,6.836,-2.930
1744258515.778,-21.484,-25.879,-3.418,-35.645,-10.742
1744258515.782,-105.957,-44.922,-246.094,-79.102,-51.758
1744258515.786,-67.871,-35.645,-92.773,-46.387,29.785
1744258515.790,44.434,-18.066,182.617,2.930,85.449
1744258515.794,38.086,-19.043,100.098,-9.766,36.133
1744258515.798,-71.289,-39.062,-204.590,-45.410,-62.988
1744258515.802,-77.637,-47.363,-186.523,-35.156,-104.492
1744258515.805,21.484,-22.949,139.160,6.836,-12.695
1744258515.809,43.945,-14.160,167.969,5.371,-25.879
1744258515.813,-54.688,-41.992,-166.016,-37.598,-55.176
1744258515.817,-121.094,-52.734,-244.141,-47.852,23.438
1744258515.817,-121.094,-52.734,-244.141,-47.852,23.438
1744258515.821,-22.461,-32.715,69.824,-15.137,10.254
1744258515.825,41.504,-24.414,201.172,-2.930,30.273
1744258515.829,-58.594,-44.922,-82.031,-52.246,-11.230
1744258515.833,-132.812,-56.641,-259.766,-90.820,-70.801
1744258515.837,-58.105,-37.109,-23.926,-51.270,-18.066
1744258515.841,27.832,-14.648,217.773,-5.859,-4.883
1744258515.845,-22.461,-28.809,23.926,-34.668,-88.867
1744258515.848,-114.258,-53.711,-274.414,-88.379,-117.676
1744258515.852,-83.008,-44.434,-148.438,-61.523,-9.766
1744258515.856,18.555,-19.043,162.109,-3.418,83.008
1744258515.860,14.160,-23.438,94.238,-11.719,15.625
1744258515.864,-95.703,-41.016,-218.750,-47.852,-79.102
1744258515.868,-110.840,-41.504,-206.055,-47.363,-50.293
1744258515.872,15.137,-20.996,114.258,-16.113,29.297
1744258515.876,50.781,-15.625,148.438,-7.324,-1.953
1744258515.880,-50.781,-31.250,-143.066,-44.922,-57.129
1744258515.884,-93.262,-42.969,-246.094,-64.941,-16.602
1744258515.888,-9.766,-23.438,47.852,-18.066,26.367
1744258515.891,59.570,-12.695,210.938,12.207,-11.719
1744258515.895,-14.160,-34.180,-74.707,-36.133,-126.465
1744258515.899,-110.352,-44.434,-282.227,-72.266,-98.145
1744258515.903,-57.129,-30.762,-58.105,-33.691,3.906
1744258515.907,39.062,-19.043,181.641,1.953,43.945
1744258515.911,4.883,-30.273,13.184,-29.297,30.273
1744258515.915,-109.863,-50.293,-276.367,-58.105,32.227
1744258515.919,-86.914,-36.621,-169.922,-51.758,22.949
1744258515.923,31.250,-15.137,147.949,-21.484,15.137
1744258515.927,10.742,-25.879,107.422,-22.461,5.371
1744258515.930,-99.121,-46.387,-226.562,-65.918,-96.680
1744258515.934,-97.168,-40.039,-232.422,-65.430,-173.828
1744258515.938,13.184,-22.461,112.305,-12.695,-102.539
1744258515.942,41.504,-24.414,173.828,0.977,-89.844
1744258515.946,-61.035,-51.270,-160.156,-54.199,-136.230
1744258515.950,-113.770,-57.617,-283.691,-79.102,-18.066
1744258515.954,-34.668,-37.109,7.812,-36.621,0.488
1744258515.958,37.109,-29.297,168.457,-4.883,-83.008
1744258515.962,-25.879,-41.016,-73.730,-26.855,-83.984
1744258515.966,-115.723,-48.828,-268.066,-81.543,-64.941
1744258515.970,-71.289,-34.668,-74.219,-54.688,-30.273
1744258515.973,23.926,-20.020,190.430,-6.348,-50.781
1744258515.977,-8.301,-31.250,52.734,-27.344,-109.863
1744258515.981,-113.770,-50.293,-247.070,-67.383,-92.773
1744258515.985,-96.191,-40.527,-169.922,-57.129,-60.059
1744258515.989,19.531,-17.090,134.277,-3.418,-65.430
1744258515.993,23.438,-23.438,115.723,-18.066,-98.145
1744258515.997,-86.426,-38.574,-193.848,-72.754,-91.309
1744258516.001,-107.910,-39.551,-242.188,-71.289,1.953
1744258516.005,-17.090,-21.484,63.965,-21.484,27.832
1744258516.009,45.898,-13.184,162.109,2.441,-39.551
1744258516.013,-29.785,-22.461,-131.836,-31.250,-89.355
1744258516.016,-120.117,-34.180,-290.527,-51.758,-71.777
1744258516.020,-32.715,-34.180,-8.301,-20.020,4.883
1744258516.024,59.082,-4.395,217.285,24.902,45.898
1744258516.028,-25.391,-13.184,3.906,-15.137,-5.371
1744258516.032,-130.859,-36.133,-263.672,-73.730,-80.566
1744258516.036,-93.750,-34.668,-113.281,-52.246,-15.137
1744258516.040,19.043,-21.484,170.410,-0.977,67.871
1744258516.044,12.695,-21.484,74.707,-10.742,2.930
1744258516.048,-93.262,-38.574,-240.234,-73.242,-60.547
1744258516.052,-86.426,-35.156,-184.570,-78.125,-1.465
1744258516.055,16.602,-21.973,143.555,-25.391,-31.250
1744258516.059,26.855,-26.367,145.996,-20.020,-130.371
1744258516.063,-82.031,-46.387,-183.105,-79.102,-188.477
1744258516.067,-104.980,-42.480,-255.371,-84.961,-80.566
1744258516.071,1.953,-14.648,71.289,-22.461,47.852
1744258516.075,56.152,-1.465,207.031,-2.441,-14.648
1744258516.079,-18.066,-18.066,-71.289,-40.527,-79.102
1744258516.083,-97.656,-41.016,-270.508,-62.988,-81.543
